country_code,year,poor,population,region_name,country_name,effective_headcount
IRN,1981,10094467,40217000,Middle East & North Africa,"Iran, Islamic Rep.",0.251
IRQ,1981,1619503.8,14046000,Middle East & North Africa,Iraq,0.1153
ISL,1981,506,230000,Other High Income Countries,Iceland,0.0022
ISR,1981,43109.5,3815000,Other High Income Countries,Israel,0.0113
ITA,1981,271564.8,56576000,Other High Income Countries,Italy,0.0048
JAM,1981,398096.4,2197000,Latin America & Caribbean,Jamaica,0.1812
JOR,1981,492.2,2461000,Middle East & North Africa,Jordan,2e-04
JPN,1981,2078002.5,118743000,Other High Income Countries,Japan,0.0175
KAZ,1981,2649833.4,15073000,Europe & Central Asia,Kazakhstan,0.1758
KEN,1981,8159802.8,16901000,Sub-Saharan Africa,Kenya,0.4828
KGZ,1981,1140256.8,3683000,Europe & Central Asia,Kyrgyz Republic,0.3096
KHM,1981,6326019.41763051,6748000,East Asia & Pacific,Cambodia,0.93746582952438
KIR,1981,18062.1,61000,East Asia & Pacific,Kiribati,0.2961
KNA,1981,580.016489757903,43000,Other High Income Countries,St. Kitts and Nevis,0.0134887555757652
KOR,1981,4339426.8,38607000,Other High Income Countries,"Korea, Rep.",0.1124
KWT,1981,19464.2742958292,1443000,Other High Income Countries,Kuwait,0.0134887555757652
LAO,1981,2351687.1,3323000,East Asia & Pacific,Lao PDR,0.7077
LBN,1981,50227.2,2616000,Middle East & North Africa,Lebanon,0.0192
LBR,1981,481472.2,1958000,Sub-Saharan Africa,Liberia,0.2459
LBY,1981,1044819.82537463,3348000,Middle East & North Africa,Libya,0.312072827172827
LCA,1981,107160,120000,Latin America & Caribbean,St. Lucia,0.893
LIE,1981,350.707644969895,26000,Other High Income Countries,Liechtenstein,0.0134887555757652
LKA,1981,8951505.3,15273000,South Asia,Sri Lanka,0.5861
LSO,1981,996710.4,1344000,Sub-Saharan Africa,Lesotho,0.7416
LTU,1981,338688,3456000,Europe & Central Asia,Lithuania,0.098
LUX,1981,0,364000,Other High Income Countries,Luxembourg,0
LVA,1981,506.2,2531000,Europe & Central Asia,Latvia,2e-04
MAC,1981,3277.76760491094,243000,Other High Income Countries,"Macao SAR, China",0.0134887555757652
MAR,1981,8645386.5,20511000,Middle East & North Africa,Morocco,0.4215
MCO,1981,364.19640054566,27000,Other High Income Countries,Monaco,0.0134887555757652
MDA,1981,421801.6,4048000,Europe & Central Asia,Moldova,0.1042
MDG,1981,7150784.1,8971000,Sub-Saharan Africa,Madagascar,0.7971
MDV,1981,116522,164000,South Asia,Maldives,0.7105
MEX,1981,16065489.6,70992000,Latin America & Caribbean,Mexico,0.2263
MHL,1981,7440,32000,East Asia & Pacific,Marshall Islands,0.2325
MKD,1981,111470.8,1942000,Europe & Central Asia,North Macedonia,0.0574
MLI,1981,6823832.2,7234000,Sub-Saharan Africa,Mali,0.9433
MLT,1981,4267.2,336000,Other High Income Countries,Malta,0.0127
MMR,1981,32264768.9,34139000,East Asia & Pacific,Myanmar,0.9451
MNE,1981,2881.2,588000,Europe & Central Asia,Montenegro,0.0049
MNG,1981,719021.7,1733000,East Asia & Pacific,Mongolia,0.4149
MNP,1981,242.797600363773,18000,Other High Income Countries,Northern Mariana Islands,0.0134887555757652
MOZ,1981,11064082.7,12133000,Sub-Saharan Africa,Mozambique,0.9119
MRT,1981,1017349.7,1579000,Sub-Saharan Africa,Mauritania,0.6443
MUS,1981,318925.8,978000,Sub-Saharan Africa,Mauritius,0.3261
MWI,1981,5321639.7,6327000,Sub-Saharan Africa,Malawi,0.8411
MYS,1981,2609136.4,14134000,East Asia & Pacific,Malaysia,0.1846
NAM,1981,647077.2,1034000,Sub-Saharan Africa,Namibia,0.6258
NCL,1981,1982.84706963748,147000,Other High Income Countries,New Caledonia,0.0134887555757652
NER,1981,5691221.2,6164000,Sub-Saharan Africa,Niger,0.9233
NGA,1981,50218839.9,75483000,Sub-Saharan Africa,Nigeria,0.6653
NIC,1981,1008281.4,3342000,Latin America & Caribbean,Nicaragua,0.3017
NLD,1981,209092.8,14224000,Other High Income Countries,Netherlands,0.0147
NOR,1981,17215.8,4099000,Other High Income Countries,Norway,0.0042
NPL,1981,14151072,15249000,South Asia,Nepal,0.928
NZL,1981,42691.9113972968,3165000,Other High Income Countries,New Zealand,0.0134887555757652
OMN,1981,16469.7705580093,1221000,Other High Income Countries,Oman,0.0134887555757652
PAK,1981,74773840.2,80697000,South Asia,Pakistan,0.9266
PAN,1981,336316,2026000,Latin America & Caribbean,Panama,0.166
PER,1981,1782758.4,17792000,Latin America & Caribbean,Peru,0.1002
PHL,1981,25020537.6,48716000,East Asia & Pacific,Philippines,0.5136
PLW,1981,12187.0557838169,13000,East Asia & Pacific,Palau,0.93746582952438
